Unnamed: 0,title,text,label,clean_text
0,LAW ENFORCEMENT ON HIGH ALERT Following Threats Against Cops And Whites On 9-11By #BlackLivesMatter And #FYF911 Terrorists [VIDEO],"No comment is expected from Barack Obama Members of the #FYF911 or #FukYoFlag and #BlackLivesMatter movements called for the lynching and hanging of white people and cops. They encouraged others on a radio show Tuesday night to  turn the tide  and kill white people and cops to send a message about the killing of black people in America.One of the F***YoFlag organizers is called  Sunshine.  She has a radio blog show hosted from Texas called,  Sunshine s F***ing Opinion Radio Show. A snapshot of her #FYF911 @LOLatWhiteFear Twitter page at 9:53 p.m. shows that she was urging supporters to  Call now!! #fyf911 tonight we continue to dismantle the illusion of white Below is a SNAPSHOT Twitter Radio Call Invite   #FYF911The radio show aired at 10:00 p.m. eastern standard time.During the show, callers clearly call for  lynching  and  killing  of white people.A 2:39 minute clip from the radio show can be heard here. It was provided to Breitbart Texas by someone who would like to be referred to as  Hannibal.  He has already received death threats as a result of interrupting #FYF911 conference calls.An unidentified black man said  when those mother f**kers are by themselves, that s when when we should start f***ing them up. Like they do us, when a bunch of them ni**ers takin  one of us out, that s how we should roll up.  He said,  Cause we already roll up in gangs anyway. There should be six or seven black mother f**ckers, see that white person, and then lynch their ass. Let s turn the tables. They conspired that if  cops started losing people,  then  there will be a state of emergency. He speculated that one of two things would happen,  a big-ass [R s?????] war,  or  ni**ers, they are going to start backin  up. We are already getting killed out here so what the f**k we got to lose? Sunshine could be heard saying,  Yep, that s true. That s so f**king true. He said,  We need to turn the tables on them. Our kids are getting shot out here. Somebody needs to become a sacrifice on their side.He said,  Everybody ain t down for that s**t, or whatever, but like I say, everybody has a different position of war.  He continued,  Because they don t give a f**k anyway.  He said again,  We might as well utilized them for that s**t and turn the tables on these n**ers. He said, that way  we can start lookin  like we ain t havin  that many casualties, and there can be more causalities on their side instead of ours. They are out their killing black people, black lives don t matter, that s what those mother f**kers   so we got to make it matter to them. Find a mother f**ker that is alone. Snap his ass, and then f***in hang him from a damn tree. Take a picture of it and then send it to the mother f**kers. We  just need one example,  and  then people will start watchin .  This will turn the tables on s**t, he said. He said this will start  a trickle-down effect.  He said that when one white person is hung and then they are just  flat-hanging,  that will start the  trickle-down effect.  He continued,  Black people are good at starting trends. He said that was how  to get the upper-hand. Another black man spoke up saying they needed to kill  cops that are killing us. The first black male said,  That will be the best method right there. Breitbart Texas previously reported how Sunshine was upset when  racist white people  infiltrated and disrupted one of her conference calls. She subsequently released the phone number of one of the infiltrators. The veteran immediately started receiving threatening calls.One of the #F***YoFlag movement supporters allegedly told a veteran who infiltrated their publicly posted conference call,  We are going to rape and gut your pregnant wife, and your f***ing piece of sh*t unborn creature will be hung from a tree. Breitbart Texas previously encountered Sunshine at a Sandra Bland protest at the Waller County Jail in Texas, where she said all white people should be killed. She told journalists and photographers,  You see this nappy-ass hair on my head?   That means I am one of those more militant Negroes.  She said she was at the protest because  these redneck mother-f**kers murdered Sandra Bland because she had nappy hair like me. #FYF911 black radicals say they will be holding the  imperial powers  that are actually responsible for the terrorist attacks on September 11th accountable on that day, as reported by Breitbart Texas. There are several websites and Twitter handles for the movement. Palmetto Star  describes himself as one of the head organizers. He said in a YouTube video that supporters will be burning their symbols of  the illusion of their superiority,  their  false white supremacy,  like the American flag, the British flag, police uniforms, and Ku Klux Klan hoods.Sierra McGrone or  Nocturnus Libertus  posted,  you too can help a young Afrikan clean their a** with the rag of oppression.  She posted two photos, one that appears to be herself, and a photo of a black man, wiping their naked butts with the American flag.For entire story: Breitbart News",1,comment expected barack obama member fyf fukyoflag blacklivesmatter movement called lynching hanging white people cop encouraged others radio show tuesday night turn tide kill white people cop send message killing black people americaone fyoflag organizer called sunshine radio blog show hosted texas called sunshine fing opinion radio show snapshot fyf lolatwhitefear twitter page pm show urging supporter call fyf tonight continue dismantle illusion white snapshot twitter radio call invite fyfthe radio show aired pm eastern standard timeduring show caller clearly call lynching killing white peoplea minute clip radio show heard provided breitbart texas someone would like referred hannibal already received death threat result interrupting fyf conference callsan unidentified black man said mother fkers start fing like u bunch niers takin one u roll said cause already roll gang anyway six seven black mother fckers see white person lynch as let turn table conspired cop started losing people state emergency speculated one two thing would happen bigass r war niers going start backin already getting killed fk got lose sunshine could heard saying yep true fking true said need turn table kid getting shot somebody need become sacrifice sidehe said everybody st whatever like say everybody different position war continued give fk anyway said might well utilized st turn table ners said way start lookin like havin many casualty causality side instead killing black people black life matter mother fkers got make matter find mother fker alone snap as fin hang damn tree take picture send mother fkers need one example people start watchin turn table st said said start trickledown effect said one white person hung flathanging start trickledown effect continued black people good starting trend said get upperhand another black man spoke saying needed kill cop killing u first black male said best method right breitbart texas previously reported sunshine upset racist white people infiltrated disrupted one conference call subsequently released phone number one infiltrator veteran immediately started receiving threatening callsone fyoflag movement supporter allegedly told veteran infiltrated publicly posted conference call going rape gut pregnant wife fing piece sht unborn creature hung tree breitbart texas previously encountered sunshine sandra bland protest waller county jail texas said white people killed told journalist photographer see nappyass hair head mean one militant negro said protest redneck motherfkers murdered sandra bland nappy hair like fyf black radical say holding imperial power actually responsible terrorist attack september th accountable day reported breitbart texas several website twitter handle movement palmetto star describes one head organizer said youtube video supporter burning symbol illusion superiority false white supremacy like american flag british flag police uniform ku klux klan hoodssierra mcgrone nocturnus libertus posted help young afrikan clean rag oppression posted two photo one appears photo black man wiping naked butt american flagfor entire story breitbart news
1,,Did they post their votes for Hillary already?,1,post vote hillary already
2,UNBELIEVABLE! OBAMA’S ATTORNEY GENERAL SAYS MOST CHARLOTTE RIOTERS WERE “PEACEFUL” PROTESTERS…In Her Home State Of North Carolina [VIDEO]," Now, most of the demonstrators gathered last night were exercising their constitutional and protected right to peaceful protest in order to raise issues and create change.    Loretta Lynch aka Eric Holder in a skirt",1,demonstrator gathered last night exercising constitutional protected right peaceful protest order raise issue create change loretta lynch aka eric holder skirt
3,"Bobby Jindal, raised Hindu, uses story of Christian conversion to woo evangelicals for potential 2016 bid","A dozen politically active pastors came here for a private dinner Friday night to hear a conversion story unique in the context of presidential politics: how Louisiana Gov. Bobby Jindal traveled from Hinduism to Protestant Christianity and, ultimately, became what he calls an “evangelical Catholic.”

Over two hours, Jindal, 42, recalled talking with a girl in high school who wanted to “save my soul,” reading the Bible in a closet so his parents would not see him and feeling a stir while watching a movie during his senior year that depicted Jesus on the cross.

“I was struck, and struck hard,” Jindal told the pastors. “This was the Son of God, and He had died for our sins.”

Jindal’s session with the Christian clergy, who lead congregations in the early presidential battleground states of Iowa and South Carolina, was part of a behind-the-scenes effort by the Louisiana governor to find a political base that could help propel him into the top tier of Republican candidates seeking to run for the White House in 2016.

Known in GOP circles mostly for his mastery of policy issues such as health care, Jindal, a Rhodes Scholar and graduate of the Ivy League’s Brown University, does not have an obvious pool of activist supporters to help drive excitement outside his home state. So he is harnessing his religious experience in a way that has begun to appeal to parts of the GOP’s influential core of religious conservatives, many of whom have yet to find a favorite among the Republicans eyeing the presidential race.

Other potential 2016 GOP candidates are wooing the evangelical base, including Sens. Rand Paul (Ky.) and Ted Cruz (Tex.) and Indiana Gov. Mike Pence.

But over the weekend in Lynchburg — a mecca of sorts for evangelicals as the home of Liberty University, founded in the 1970s by the Rev. Jerry Falwell — Jindal appeared to make progress.

In addition to his dinner with the pastors, he delivered a well-received “call to action” address to 40,000 Christian conservatives gathered for Liberty’s commencement ceremony, talking again about his faith while assailing what he said was President Obama’s record of attacking religious liberty.

The pastors who came to meet Jindal said his intimate descriptions of his experiences stood out.

“He has the convictions, and he has what it takes to communicate them,” said Brad Sherman of Solid Rock Christian Church in Coralville, Iowa. Sherman helped former Arkansas governor Mike Huckabee in his winning 2008 campaign for delegates in Iowa.

Another Huckabee admirer, the Rev. C. Mitchell Brooks of Second Baptist Church in Belton, S.C., said Jindal’s commitment to Christian values and his compelling story put him “on a par” with Huckabee, who was a Baptist preacher before entering politics.

The visiting pastors flew to Lynchburg over the weekend at the invitation of the American Renewal Project, a well-funded nonprofit group that encourages evangelical Christians to engage in the civic arena with voter guides, get-out-the-vote drives and programs to train pastors in grass-roots activism. The group’s founder, David Lane, has built a pastor network in politically important states such as Iowa, Missouri, Ohio and South Carolina and has led trips to Israel with Paul and others seeking to make inroads with evangelical activists.

The group that Lane invited to Lynchburg included Donald Wild­mon, a retired minister and founder of the American Family Association, a prominent evangelical activist group that has influence through its network of more than 140 Christian radio stations.

Most of the pastors that Lane’s organization brought to Lynchburg had not met Jindal. But they said he captured their interest recently when he stepped forward to defend Phil Robertson, patriarch of the “Duck Dynasty” television-show family, amid a controversy over disparaging remarks he made about gays in an interview with GQ magazine.

Throughout his Lynchburg visit, Jindal presented himself as a willing culture warrior.

During his commencement address Saturday, he took up the cause of twin brothers whose HGTV reality series about renovating and reselling houses, “Flip It Forward,” was canceled last week after a Web site revealed that they had protested against same-sex marriage at the 2012 Democratic National Convention in Charlotte.

The siblings, Jason and David Benham, both Liberty graduates, attended the graduation and a private lunch with Jindal, who called the action against them “another demonstration of intolerance from the entertainment industry.”

“If these guys had protested at the Republican Party convention, instead of canceling their show, HGTV would probably have given them a raise,” Jindal said as the Liberty crowd applauded.

He cited the Hobby Lobby craft store chain, which faced a legal challenge after refusing to provide employees with insurance coverage for contraceptives as required under the Affordable Care Act. Members of the family that owns Hobby Lobby, who have become heroes to many religious conservatives, have said that they are morally opposed to the use of certain types of birth control and that they considered the requirement a violation of their First Amendment right to religious freedom.

The family was “committed to honor the Lord by being generous employers, paying well above minimum wage and increasing salaries four years in a row even in the midst of the enduring recession,” Jindal told the Liberty graduates. “None of this matters to the Obama administration.”

But for the pastors who came to see Jindal in action, the governor’s own story was the highlight of the weekend. And in many ways, he was unlike any other aspiring president these activists had met.

Piyush Jindal was born in 1971, four months after his parents arrived in Baton Rouge, La., from their native India. He changed his name to Bobby as a young boy, adopting the name of a character on a favorite television show, “The Brady Bunch.”

His decision to become a Christian, he told the pastors, did not come in one moment of lightning epiphany. Instead, he said, it happened in phases, growing from small seeds planted over time.

Jindal recalled that his closest friend from grade school gave him a Bible with his name emblazoned in gold on the cover as a Christmas present. It struck him initially as an unimpressive gift, Jindal told the pastors.

“Who in the world would spend good money for a Bible when everyone knows you can get one free in any hotel?” he recalled thinking at the time. “And the gold lettering meant I couldn’t give it away or return it.”

His religious education reached a higher plane during his junior year in high school, he told his dinner audience. He wanted to ask a pretty girl on a date during a hallway conversation, and she started talking about her faith in God and her opposition to abortion. The girl invited him to visit her church.

Jindal said he was skeptical and set out to “investigate all these fanciful claims” made by the girl and other friends. He started reading the Bible in his closet at home. “I was unsure how my parents would react,” he said.

After the stirring moment when he saw Christ depicted on the cross during the religious movie, the Bible and his very existence suddenly seemed clearer to him, Jindal told the pastors.

Jindal did not dwell on his subsequent conversion to Catholicism just a few years later in college, where he said he immersed himself in the traditions of the church.

He touched on it briefly during the commencement address, noting in passing that “I am best described as an evangelical Catholic.” Mostly, he sought to showcase the ways in which he shares values with other Christian conservatives.

“I read the words of Jesus Christ, and I realized that they were true,” Jindal told the graduates Saturday, offering a less detailed accounting of his conversion than he had done the night before with the pastors. “I used to think that I had found God, but I believe it is more accurate to say that He found me.”",0,dozen politically active pastor came private dinner friday night hear conversion story unique context presidential politics louisiana gov bobby jindal traveled hinduism protestant christianity ultimately became call evangelical catholic two hour jindal recalled talking girl high school wanted save soul reading bible closet parent would see feeling stir watching movie senior year depicted jesus cross struck struck hard jindal told pastor son god died sin jindals session christian clergy lead congregation early presidential battleground state iowa south carolina part behindthescenes effort louisiana governor find political base could help propel top tier republican candidate seeking run white house known gop circle mostly mastery policy issue health care jindal rhodes scholar graduate ivy league brown university obvious pool activist supporter help drive excitement outside home state harnessing religious experience way begun appeal part gop influential core religious conservative many yet find favorite among republican eyeing presidential race potential gop candidate wooing evangelical base including sen rand paul ky ted cruz tex indiana gov mike penny weekend lynchburg mecca sort evangelicals home liberty university founded rev jerry falwell jindal appeared make progress addition dinner pastor delivered wellreceived call action address christian conservative gathered liberty commencement ceremony talking faith assailing said president obamas record attacking religious liberty pastor came meet jindal said intimate description experience stood conviction take communicate said brad sherman solid rock christian church coralville iowa sherman helped former arkansas governor mike huckabee winning campaign delegate iowa another huckabee admirer rev c mitchell brook second baptist church belton sc said jindals commitment christian value compelling story put par huckabee baptist preacher entering politics visiting pastor flew lynchburg weekend invitation american renewal project wellfunded nonprofit group encourages evangelical christian engage civic arena voter guide getoutthevote drive program train pastor grassroots activism group founder david lane built pastor network politically important state iowa missouri ohio south carolina led trip israel paul others seeking make inroad evangelical activist group lane invited lynchburg included donald wildmon retired minister founder american family association prominent evangelical activist group influence network christian radio station pastor lane organization brought lynchburg met jindal said captured interest recently stepped forward defend phil robertson patriarch duck dynasty televisionshow family amid controversy disparaging remark made gay interview gq magazine throughout lynchburg visit jindal presented willing culture warrior commencement address saturday took cause twin brother whose hgtv reality series renovating reselling house flip forward canceled last week web site revealed protested samesex marriage democratic national convention charlotte sibling jason david benham liberty graduate attended graduation private lunch jindal called action another demonstration intolerance entertainment industry guy protested republican party convention instead canceling show hgtv would probably given raise jindal said liberty crowd applauded cited hobby lobby craft store chain faced legal challenge refusing provide employee insurance coverage contraceptive required affordable care act member family owns hobby lobby become hero many religious conservative said morally opposed use certain type birth control considered requirement violation first amendment right religious freedom family committed honor lord generous employer paying well minimum wage increasing salary four year row even midst enduring recession jindal told liberty graduate none matter obama administration pastor came see jindal action governor story highlight weekend many way unlike aspiring president activist met piyush jindal born four month parent arrived baton rouge la native india changed name bobby young boy adopting name character favorite television show brady bunch decision become christian told pastor come one moment lightning epiphany instead said happened phase growing small seed planted time jindal recalled closest friend grade school gave bible name emblazoned gold cover christmas present struck initially unimpressive gift jindal told pastor world would spend good money bible everyone know get one free hotel recalled thinking time gold lettering meant couldnt give away return religious education reached higher plane junior year high school told dinner audience wanted ask pretty girl date hallway conversation started talking faith god opposition abortion girl invited visit church jindal said skeptical set investigate fanciful claim made girl friend started reading bible closet home unsure parent would react said stirring moment saw christ depicted cross religious movie bible existence suddenly seemed clearer jindal told pastor jindal dwell subsequent conversion catholicism year later college said immersed tradition church touched briefly commencement address noting passing best described evangelical catholic mostly sought showcase way share value christian conservative read word jesus christ realized true jindal told graduate saturday offering less detailed accounting conversion done night pastor used think found god believe accurate say found
4,SATAN 2: Russia unvelis an image of its terrifying new ‘SUPERNUKE’ – Western world takes notice,"The RS-28 Sarmat missile, dubbed Satan 2, will replace the SS-18 Flies at 4.3 miles (7km) per sec and with a range of 6,213 miles (10,000km) The weapons are perceived as part of an increasingly aggressive Russia It could deliver a warhead of 40 megatons – 2,000 times as powerful as the atom bombs dropped on Hiroshima and Nagasaki in 1945 By LIBBY PLUMMER and GARETH DAVIE S Russia has unveiled chilling pictures of its largest ever nuclear missile, capable of destroying an area the size of France. The RS-28 Sarmat missile, dubbed Satan 2 by Nato, has a top speed of 4.3 miles (7km) per second and has been designed to outfox anti-missile shield systems. The new Sarmat missile could deliver warheads of 40 megatons – 2,000 times as powerful as the atom bombs dropped on Hiroshima and Nagasaki in 1945. Scroll down for video Russian President Vladimir Putin is reportedly planning to replace the country’s older SS-18 Satan weapons with the new missiles amid a string of recent disagreements with the West. The Kremlin has stepped up the rhetoric against the West and carried a series of manoeuvres that has infuriated politicians in the US and UK. The pictures were revealed online by chief designers from the Makeyev Rocket Design Bureau. A message posted alongside the picture said: ‘In accordance with the Decree of the Russian Government ‘On the State Defense Order for 2010 and the planning period 2012-2013’, the Makeyev Rocket Design Bureau was instructed to start design and development work on the Sarmat. ‘ The RS-28 Sarmat missile is said to contain 16 nuclear warheads and is capable of destroying an area the size of France or Texas, according to Russian news network Zvezda, which is owned by Russia’s ministry of defence. The weapon is also able to evade radar. It is expected to have a range of 6,213 miles (10,000 km), which would allow Moscow to attack London and 
FOR ENTIRE ARTICLE CLICK LINK",1,r sarmat missile dubbed satan replace s fly mile km per sec range mile km weapon perceived part increasingly aggressive russia could deliver warhead megaton time powerful atom bomb dropped hiroshima nagasaki libby plummer gareth davie russia unveiled chilling picture largest ever nuclear missile capable destroying area size france r sarmat missile dubbed satan nato top speed mile km per second designed outfox antimissile shield system new sarmat missile could deliver warhead megaton time powerful atom bomb dropped hiroshima nagasaki scroll video russian president vladimir putin reportedly planning replace country older s satan weapon new missile amid string recent disagreement west kremlin stepped rhetoric west carried series manoeuvre infuriated politician u uk picture revealed online chief designer makeyev rocket design bureau message posted alongside picture said accordance decree russian government state defense order planning period makeyev rocket design bureau instructed start design development work sarmat r sarmat missile said contain nuclear warhead capable destroying area size france texas according russian news network zvezda owned russia ministry defence weapon also able evade radar expected range mile km would allow moscow attack london entire article click link
5,About Time! Christian Group Sues Amazon and SPLC for Designation as Hate Group,"All we can say on this one is it s about time someone sued the Southern Poverty Law Center!On Tuesday, D. James Kennedy Ministries (DJKM) filed a lawsuit against the Southern Poverty Law Center (SPLC), the charity navigation organization GuideStar, and Amazon, for defamation, religious discrimination, and trafficking in falsehood. The SPLC listed DJKM as a  hate group,  while GuideStar also categorized it in those terms, and Amazon kept the ministry off of its charity donation program, Amazon Smile. We embarked today on a journey to right a terrible wrong,  Dr. Frank Wright, president and CEO at DJKM, said in a statement Tuesday.  Those who knowingly label Christian ministries as  hate  groups, solely for subscribing to the historic Christian faith, are either woefully uninformed or willfully deceitful. In the case of the Southern Poverty Law Center, our lawsuit alleges the latter. The SPLC has labeled DJKM an  anti-LGBT hate group  for its opposition to same-sex marriage and transgenderism.  These false and illegal characterizations have a chilling effect on the free exercise of religion and on religious free speech for all people of faith,  Wright declared. After having given the SPLC an opportunity to retract, we have undertaken this legal action, seeking a trial by a jury of our peers, to preserve our own rights under the law and to defend the religious free speech rights of all Americans,  the DJKM president concluded.The lawsuit laid out charges against the SPLC, GuideStar, and Amazon.Read more: PJM",1,say one time someone sued southern poverty law centeron tuesday james kennedy ministry djkm filed lawsuit southern poverty law center splc charity navigation organization guidestar amazon defamation religious discrimination trafficking falsehood splc listed djkm hate group guidestar also categorized term amazon kept ministry charity donation program amazon smile embarked today journey right terrible wrong dr frank wright president ceo djkm said statement tuesday knowingly label christian ministry hate group solely subscribing historic christian faith either woefully uninformed willfully deceitful case southern poverty law center lawsuit alleges latter splc labeled djkm antilgbt hate group opposition samesex marriage transgenderism false illegal characterization chilling effect free exercise religion religious free speech people faith wright declared given splc opportunity retract undertaken legal action seeking trial jury peer preserve right law defend religious free speech right american djkm president concludedthe lawsuit laid charge splc guidestar amazonread pjm
6,DR BEN CARSON TARGETED BY THE IRS: “I never had an audit until I spoke at the National Prayer Breakfast.”,DR. BEN CARSON TELLS THE STORY OF WHAT HAPPENED WHEN HE SPOKE OUT AGAINST OBAMA: ,1,dr ben carson tell story happened spoke obama
7,HOUSE INTEL CHAIR On Trump-Russia Fake Story: “No evidence of anything” [Video], ,1,
8,Sports Bar Owner Bans NFL Games…Will Show Only ‘True American’ Sports: ‘I’d like to speak for rural America’ [Video],"The owner of the Ringling Bar, located south of White Sulphur Springs, is standing behind his Facebook post that criticizes NFL players who take a knee during the national anthem to protest police brutality. The post was made on the Ringling Bar s Facebook page Tuesday night and has since received hundreds of comments and shares. The post reads:  The Ringling Bar will no longer show any NFL games. This will allow us to air the PBR, Rodeo and NASCAR events whose competitors are true Americans! Sorry for any inconvenience. Ringling Bar Co-owner Kurt Bekemans, who grew up in the Paradise Valley, published the post and said he doesn t care if the post turns some customers away. Seriously, I would not care if non-Americans didn t patronize the place,  said Bekemans.  I d like to speak for rural America: I bet you wouldn t see any farmers or ranchers in our whole country take a knee such as these guys do, I bet you couldn t find one. They appreciate what our great nation has given them and I think that s the least you could do to give thanks to our country is stand for the flag and the anthem. As of Wednesday morning, a majority of the comments were in support of the bar. We all love ya for this, I ll be by with as many people I can round up!!  said one commenter.Another person was critical, writing:  Ha Ha of course NASCAR is not protesting the treatment of minority s because they don t care about them!!! Read more: krtv",1,owner ringling bar located south white sulphur spring standing behind facebook post criticizes nfl player take knee national anthem protest police brutality post made ringling bar facebook page tuesday night since received hundred comment share post read ringling bar longer show nfl game allow u air pbr rodeo nascar event whose competitor true american sorry inconvenience ringling bar coowner kurt bekemans grew paradise valley published post said care post turn customer away seriously would care nonamericans patronize place said bekemans like speak rural america bet see farmer rancher whole country take knee guy bet find one appreciate great nation given think least could give thanks country stand flag anthem wednesday morning majority comment support bar love ya many people round said one commenteranother person critical writing ha ha course nascar protesting treatment minority care read krtv
9,Latest Pipeline Leak Underscores Dangers Of Dakota Access Pipeline,"FILE – In this Sept. 15, 2005 file photo, the marker that welcomes commuters to Cushing, Okla. is seen. (AP Photo/The Oklahoman, Matt Strasen, File)
Underscoring once again the dangers of America’s unreliable fossil fuel infrastructure, a significant U.S. oil pipeline has been shut down after a leak was reported Monday morning.
Enterprise Products Partners said Monday it had shut its Seaway Crude Pipeline, a 400,000-barrel per day conduit that transports crude oil from Cushing, Oklahoma to Gulf coast refineries. The leak occurred Sunday night in an industrial area of Cushing. The company did not provide an estimate of the volume spilled, but said there was no danger to the public.
“Seaway personnel continue to make progress in cleaning up the spill, substantially all of which has been contained in a retention pond at Enbridge’s facility,” the company said in a news release (pdf), explaining that the pipeline is a “50/50 joint venture” between Enterprise and Enbridge Inc. “Vacuum trucks are being used to recover the crude oil and return it to storage tanks on-site.”
“The impacted segment of the legacy pipeline has a capacity of 50,000 barrels,” the release added, “however the actual amount of crude oil released will be significantly less and won’t be determined until recovery efforts are complete.”
The incident comes after another pipeline rupture in Pennsylvania early on Friday, where 55,000 gallons of gasoline poured into the Susquehanna River, and about one month after a major gasoline pipeline run by Colonial Pipeline Co. had to halt pumping for a couple of weeks due to a spill in Alabama .
Meanwhile, UPI reports that “[t]he release from the Seaway pipeline is the second associated with the Cushing storage hub in less than a month. Plains All American Pipeline reported problems with infrastructure from Colorado City [Texas] to Cushing earlier this month.”
Environmentalists, Indigenous people, and energy companies are in the midst of a heated debate over pipeline safety . Water protectors and their allies along the proposed route of the Dakota Access Pipeline (DAPL) have been saying for months that the project threatens their right to safe drinking water.
“Oil pipelines break, spill, and leak—it’s not a question of if, it’s a question of where and when,” 13-year-old Anna Lee Rain YellowHammer, a member of the Standing Rock Sioux Tribe, wrote in a recent appeal.
“With such a high chance that this pipeline will leak,” she wrote of the Enbridge-backed DAPL , “I can only guess that the oil industry keeps pushing for it because it doesn’t care about our health and safety. The industry seems to think our lives are more expendable than others’.”
Indeed, referring to the Cushing leak, one observer tweeted on Monday: “That’s why we’re screaming #NoDAPL ! They always break!”
Seaway Crude pipeline system shut after Cushing, OK spill. That's why we're screaming #NoDAPL ! They always break! https://t.co/oXiLXcBRly
— Deanna Rilling (@DeannaRilling) October 24, 2016",1,file sept file photo marker welcome commuter cushing okla seen ap photothe oklahoman matt strasen file underscoring danger america unreliable fossil fuel infrastructure significant u oil pipeline shut leak reported monday morning enterprise product partner said monday shut seaway crude pipeline barrel per day conduit transport crude oil cushing oklahoma gulf coast refinery leak occurred sunday night industrial area cushing company provide estimate volume spilled said danger public seaway personnel continue make progress cleaning spill substantially contained retention pond enbridges facility company said news release pdf explaining pipeline joint venture enterprise enbridge inc vacuum truck used recover crude oil return storage tank onsite impacted segment legacy pipeline capacity barrel release added however actual amount crude oil released significantly less wont determined recovery effort complete incident come another pipeline rupture pennsylvania early friday gallon gasoline poured susquehanna river one month major gasoline pipeline run colonial pipeline co halt pumping couple week due spill alabama meanwhile upi report release seaway pipeline second associated cushing storage hub less month plain american pipeline reported problem infrastructure colorado city texas cushing earlier month environmentalist indigenous people energy company midst heated debate pipeline safety water protector ally along proposed route dakota access pipeline dapl saying month project threatens right safe drinking water oil pipeline break spill leakits question question yearold anna lee rain yellowhammer member standing rock sioux tribe wrote recent appeal high chance pipeline leak wrote enbridgebacked dapl guess oil industry keep pushing doesnt care health safety industry seems think life expendable others indeed referring cushing leak one observer tweeted monday thats screaming nodapl always break seaway crude pipeline system shut cushing ok spill thats screaming nodapl always break deanna rilling deannarilling october
